Filename,P_BEAM_WIDTH,P_EN,P_EVALUATION,P_QUEUE_SIZE,P_SLICE,P_SN,P_THRESHOLD,Result Size,Execution Time (sec),Used pmode=2
result_SN2_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD24_EVALUATION1_202603d_224002.txt,262144,12,1,,2,2,24,68,48.082,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN7_EN11_202603d_041638.txt,262144,11,3,,2,7,16,68,48.146,False
result_SN2_EN10_SLICE3_BEAM_WIDTH262144_THRESHOLD22_EVALUATION2_202603d_221311.txt,262144,10,2,,3,2,22,76,48.171,False
result_SN2_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_223759.txt,262144,12,1,,2,2,22,70,48.214,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD20_SN6_EN12_202603d_020451.txt,262144,12,3,,1,6,20,64,48.233,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD18_SN2_EN11_202603d_232447.txt,262144,11,1,,1,2,18,70,48.261,False
result_SN2_EN12_SLICE32_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_224912.txt,262144,12,1,,32,2,20,78,48.276,False
result_SN2_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD22_EVALUATION2_202603d_223902.txt,262144,12,2,,2,2,22,69,48.332,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN7_EN14_202603d_045941.txt,262144,14,3,,2,7,18,70,48.44,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN7_EN13_202603d_061829.txt,262144,13,3,,2,7,22,75,48.491,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN5_EN14_202603d_064557.txt,262144,14,3,,2,5,24,71,48.529,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN3_EN10_202603d_054915.txt,262144,10,3,,2,3,22,69,48.569,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN7_EN14_202603d_054011.txt,262144,14,3,,2,7,20,72,48.61,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN6_EN15_202603d_061427.txt,262144,15,3,,2,6,22,71,48.626,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN4_EN10_202603d_055556.txt,262144,10,3,,2,4,22,69,48.655,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN6_EN11_202603d_032856.txt,262144,11,3,,1,6,24,70,48.679,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN2_EN14_202603d_001050.txt,262144,14,3,,1,2,16,62,48.745,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN6_EN11_202603d_061002.txt,262144,11,3,,2,6,22,73,48.776,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN6_EN11_202603d_024605.txt,262144,11,3,,1,6,22,68,48.79,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD20_SN7_EN11_202603d_021020.txt,262144,11,3,,1,7,20,66,48.819,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN7_EN13_202603d_045839.txt,262144,13,3,,2,7,18,76,48.874,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN3_EN12_202603d_055126.txt,262144,12,3,,2,3,22,69,48.922,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN7_EN10_202603d_045524.txt,262144,10,3,,2,7,18,69,49.022,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN4_EN14_202603d_052008.txt,262144,14,3,,2,4,20,69,49.062,False
result_SN2_EN12_SLICE3_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_224241.txt,262144,12,1,,3,2,20,73,49.081,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN7_EN13_202603d_025448.txt,262144,13,3,,1,7,22,71,49.104,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN7_EN13_202603d_065735.txt,262144,13,3,,2,7,24,78,49.157,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN6_EN12_202603d_065024.txt,262144,12,3,,2,6,24,73,49.196,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN7_EN10_202603d_025141.txt,262144,10,3,,1,7,22,72,49.228,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN7_EN12_202603d_065632.txt,262144,12,3,,2,7,24,76,49.255,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN7_EN12_202603d_025344.txt,262144,12,3,,1,7,22,68,49.264,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN5_EN12_202603d_052443.txt,262144,12,3,,2,5,20,70,49.271,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD18_SN5_EN12_202603d_233612.txt,262144,12,1,,1,5,18,66,49.297,False
result_BEAM_WIDTH262144_SLICE1_EVALUATION1_THRESHOLD20_SN4_EN11_202603d_234606.txt,262144,11,1,,1,4,20,63,49.297,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN6_EN11_202603d_064921.txt,262144,11,3,,2,6,24,74,49.324,False
result_SN2_EN10_SLICE3_BEAM_WIDTH262144_THRESHOLD20_EVALUATION2_202603d_221101.txt,262144,10,2,,3,2,20,73,49.363,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN4_EN12_202603d_055805.txt,262144,12,3,,2,4,22,71,49.391,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN5_EN13_202603d_032415.txt,262144,13,3,,1,5,24,68,49.43,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN6_EN10_202603d_032750.txt,262144,10,3,,1,6,24,69,49.533,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN4_EN13_202603d_051903.txt,262144,13,3,,2,4,20,68,49.56,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN6_EN14_202603d_033211.txt,262144,14,3,,1,6,24,70,49.571,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD20_SN5_EN11_202603d_052341.txt,262144,11,3,,2,5,20,70,49.571,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD24_SN7_EN15_202603d_033937.txt,262144,15,3,,1,7,24,75,49.625,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD16_SN7_EN10_202603d_004127.txt,262144,10,3,,1,7,16,68,49.664,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD20_SN6_EN13_202603d_020554.txt,262144,13,3,,1,6,20,66,49.677,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN2_EN10_202603d_062147.txt,262144,10,3,,2,2,24,68,49.688,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD22_SN6_EN12_202603d_024707.txt,262144,12,3,,1,6,22,67,49.698,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE1_THRESHOLD20_SN5_EN15_202603d_020142.txt,262144,15,3,,1,5,20,66,49.727,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN6_EN12_202603d_061104.txt,262144,12,3,,2,6,22,72,49.738,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN4_EN15_202603d_044136.txt,262144,15,3,,2,4,18,67,49.797,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD24_SN2_EN12_202603d_062400.txt,262144,12,3,,2,2,24,68,49.867,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD18_SN2_EN10_202603d_042219.txt,262144,10,3,,2,2,18,70,49.947,False
result_SN2_EN12_SLICE2_BEAM_WIDTH262144_THRESHOLD20_EVALUATION1_202603d_223549.txt,262144,12,1,,2,2,20,68,49.952,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN6_EN14_202603d_041328.txt,262144,14,3,,2,6,16,68,49.963,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD16_SN4_EN11_202603d_035634.txt,262144,11,3,,2,4,16,68,50.001,False
result_SN2_EN10_SLICE2_BEAM_WIDTH262144_THRESHOLD22_EVALUATION1_202603d_220553.txt,262144,10,1,,2,2,22,77,50.029,False
result_BEAM_WIDTH262144_EVALUATION3_SLICE2_THRESHOLD22_SN5_EN12_202603d_060453.txt,262144,12,3,,2,5,22,73,50.038,False
